Id,Date,AverageHeartRate,MinimumHeartRate,MaximumHeartRate,HeartRateReadings,DayOfWeek,Month,MonthName
2022484408,2016-04-12,75.8,52,134,4836,Tuesday,4,April
2022484408,2016-04-13,80.34,51,156,5332,Wednesday,4,April
2022484408,2016-04-14,72.63,50,127,5560,Thursday,4,April
2022484408,2016-04-15,80.44,53,189,5302,Friday,4,April
2022484408,2016-04-16,75.96,49,136,3143,Saturday,4,April
2022484408,2016-04-17,83.92,52,161,4948,Sunday,4,April
2022484408,2016-04-18,82.71,54,153,5589,Monday,4,April
2022484408,2016-04-19,81.95,54,162,4500,Tuesday,4,April
2022484408,2016-04-20,83.44,50,166,6040,Wednesday,4,April
2022484408,2016-04-21,86.37,53,203,5544,Thursday,4,April
2022484408,2016-04-22,80.13,52,153,5636,Friday,4,April
2022484408,2016-04-23,71.76,50,109,4178,Saturday,4,April
2022484408,2016-04-24,82.42,53,163,4209,Sunday,4,April
2022484408,2016-04-25,82.6,49,159,3812,Monday,4,April
2022484408,2016-04-26,83.28,51,154,5586,Tuesday,4,April
2022484408,2016-04-27,80.9,38,145,4441,Wednesday,4,April
2022484408,2016-04-28,71.25,51,114,5561,Thursday,4,April
2022484408,2016-04-29,83.41,50,134,4832,Friday,4,April
2022484408,2016-04-30,77.55,51,123,5486,Saturday,4,April
2022484408,2016-05-01,73.53,44,118,4482,Sunday,5,May
2022484408,2016-05-02,77.17,50,137,7814,Monday,5,May
2022484408,2016-05-03,83.02,51,169,5708,Tuesday,5,May
2022484408,2016-05-04,82.8,54,159,6225,Wednesday,5,May
2022484408,2016-05-05,80.71,55,156,6749,Thursday,5,May
2022484408,2016-05-06,81.72,60,118,5358,Friday,5,May
2022484408,2016-05-07,76.07,52,128,2596,Saturday,5,May
2022484408,2016-05-08,76.96,53,127,1720,Sunday,5,May
2022484408,2016-05-09,81.51,51,133,6249,Monday,5,May
2022484408,2016-05-10,86.58,57,166,4894,Tuesday,5,May
2022484408,2016-05-11,83.52,55,138,4247,Wednesday,5,May
2022484408,2016-05-12,81.41,55,152,3527,Thursday,5,May
2026352035,2016-04-17,68.66,63,80,192,Sunday,4,April
2026352035,2016-04-25,99.51,70,125,516,Monday,4,April
2026352035,2016-05-02,84.13,70,122,431,Monday,5,May
2026352035,2016-05-09,98.23,70,123,1351,Monday,5,May
2347167796,2016-04-12,86.08,57,172,6753,Tuesday,4,April
2347167796,2016-04-13,73.81,55,158,9268,Wednesday,4,April
2347167796,2016-04-14,72.58,52,154,9153,Thursday,4,April
2347167796,2016-04-15,75.69,55,136,9557,Friday,4,April
2347167796,2016-04-16,96.62,58,168,9035,Saturday,4,April
2347167796,2016-04-17,75.36,55,134,8990,Sunday,4,April
2347167796,2016-04-18,71.23,53,134,9339,Monday,4,April
2347167796,2016-04-19,81.3,53,195,7824,Tuesday,4,April
2347167796,2016-04-20,78.18,53,161,7156,Wednesday,4,April
2347167796,2016-04-21,73.41,51,171,9289,Thursday,4,April
2347167796,2016-04-22,72.0,53,165,9172,Friday,4,April
2347167796,2016-04-23,83.43,53,157,9543,Saturday,4,April
2347167796,2016-04-24,77.58,54,127,8832,Sunday,4,April
2347167796,2016-04-25,73.86,53,160,9528,Monday,4,April
2347167796,2016-04-26,71.73,49,122,9023,Tuesday,4,April
2347167796,2016-04-27,75.19,51,144,8842,Wednesday,4,April
2347167796,2016-04-28,73.41,55,138,9015,Thursday,4,April
2347167796,2016-04-29,62.87,54,85,2364,Friday,4,April
4020332650,2016-04-12,83.5,49,133,33963,Tuesday,4,April
4020332650,2016-04-14,90.7,65,133,1448,Thursday,4,April
4020332650,2016-04-15,92.93,51,191,10947,Friday,4,April
4020332650,2016-04-16,100.9,62,143,8523,Saturday,4,April
4020332650,2016-04-17,98.83,66,116,69,Sunday,4,April
4020332650,2016-05-02,90.3,66,123,5566,Monday,5,May
4020332650,2016-05-03,77.88,52,127,35580,Tuesday,5,May
4020332650,2016-05-04,83.46,49,147,37357,Wednesday,5,May
4020332650,2016-05-05,85.57,49,126,21507,Thursday,5,May
4020332650,2016-05-06,75.64,50,116,25859,Friday,5,May
4020332650,2016-05-07,89.09,64,117,16695,Saturday,5,May
4020332650,2016-05-08,78.04,51,131,33998,Sunday,5,May
4020332650,2016-05-09,86.66,55,155,15180,Monday,5,May
4020332650,2016-05-10,72.62,46,142,29101,Tuesday,5,May
4020332650,2016-05-11,91.23,64,133,8626,Wednesday,5,May
4020332650,2016-05-12,94.27,70,125,1042,Thursday,5,May
4388161847,2016-04-13,67.04,45,130,8208,Wednesday,4,April
4388161847,2016-04-14,68.44,48,132,7392,Thursday,4,April
4388161847,2016-04-15,67.47,44,127,9205,Friday,4,April
4388161847,2016-04-16,75.48,56,142,8970,Saturday,4,April
4388161847,2016-04-17,66.39,49,113,8550,Sunday,4,April
4388161847,2016-04-18,81.49,50,176,8051,Monday,4,April
4388161847,2016-04-19,65.53,46,136,9274,Tuesday,4,April
4388161847,2016-04-20,65.4,46,149,9216,Wednesday,4,April
4388161847,2016-04-21,63.1,42,146,7907,Thursday,4,April
4388161847,2016-04-22,73.28,49,149,7298,Friday,4,April
4388161847,2016-04-23,67.08,44,158,9326,Saturday,4,April
4388161847,2016-04-24,62.1,44,139,8663,Sunday,4,April
4388161847,2016-04-25,67.51,45,150,7759,Monday,4,April
4388161847,2016-04-26,62.51,42,128,9229,Tuesday,4,April
4388161847,2016-04-27,62.12,42,153,9351,Wednesday,4,April
4388161847,2016-04-28,62.33,41,131,7786,Thursday,4,April
4388161847,2016-04-29,66.11,44,133,7489,Friday,4,April
4388161847,2016-04-30,64.23,45,113,9302,Saturday,4,April
4388161847,2016-05-01,60.02,39,105,8837,Sunday,5,May
4388161847,2016-05-02,66.39,43,180,8216,Monday,5,May
4388161847,2016-05-03,66.62,44,135,7740,Tuesday,5,May
4388161847,2016-05-04,61.95,42,126,9172,Wednesday,5,May
4388161847,2016-05-05,61.04,42,123,7797,Thursday,5,May
4388161847,2016-05-06,69.08,47,151,8188,Friday,5,May
4388161847,2016-05-07,66.63,41,153,9609,Saturday,5,May
4388161847,2016-05-08,76.78,43,171,9241,Sunday,5,May
4388161847,2016-05-09,64.05,44,140,7425,Monday,5,May
4388161847,2016-05-10,61.22,41,121,9285,Tuesday,5,May
4388161847,2016-05-11,59.97,40,125,8026,Wednesday,5,May
4388161847,2016-05-12,60.25,44,136,3236,Thursday,5,May
4558609924,2016-04-12,76.64,57,104,5973,Tuesday,4,April
4558609924,2016-04-13,85.1,64,144,2643,Wednesday,4,April
4558609924,2016-04-14,81.56,56,108,5331,Thursday,4,April
4558609924,2016-04-15,90.86,58,146,8102,Friday,4,April
4558609924,2016-04-16,76.3,55,135,6881,Saturday,4,April
4558609924,2016-04-17,83.2,57,136,6141,Sunday,4,April
4558609924,2016-04-18,80.46,55,141,6219,Monday,4,April
4558609924,2016-04-19,83.1,61,132,4438,Tuesday,4,April
4558609924,2016-04-20,76.92,57,110,5135,Wednesday,4,April
4558609924,2016-04-21,85.66,54,121,7867,Thursday,4,April
4558609924,2016-04-22,82.56,57,140,6277,Friday,4,April
4558609924,2016-04-23,85.85,60,133,6342,Saturday,4,April
4558609924,2016-04-24,83.97,58,121,6533,Sunday,4,April
4558609924,2016-04-25,82.49,55,163,6750,Monday,4,April
4558609924,2016-04-26,91.34,59,148,7409,Tuesday,4,April
4558609924,2016-04-27,84.56,60,122,6494,Wednesday,4,April
4558609924,2016-04-28,85.64,59,133,7678,Thursday,4,April
4558609924,2016-04-29,80.56,53,139,6943,Friday,4,April
4558609924,2016-04-30,79.19,53,134,8817,Saturday,4,April
4558609924,2016-05-01,70.84,53,127,5231,Sunday,5,May
4558609924,2016-05-02,78.67,55,108,6589,Monday,5,May
4558609924,2016-05-03,82.52,52,148,7355,Tuesday,5,May
4558609924,2016-05-04,76.83,54,127,5604,Wednesday,5,May
4558609924,2016-05-05,81.94,48,130,6702,Thursday,5,May
4558609924,2016-05-06,71.95,51,110,5429,Friday,5,May
4558609924,2016-05-07,76.25,54,116,5431,Saturday,5,May
4558609924,2016-05-08,104.87,45,199,4606,Sunday,5,May
4558609924,2016-05-09,79.38,54,110,6643,Monday,5,May
4558609924,2016-05-10,75.79,50,147,6322,Tuesday,5,May
