Id,ActivityHour,Calories,TotalIntensity,AverageIntensity,StepTotal,Date,Hour,DayOfWeek,Month,MonthName,TimeOfDay,IntensityCategory
1503960366,2016-04-12 00:00:00,81,20,0.333333,373,2016-04-12,0,Tuesday,4,April,Night,Light
1503960366,2016-04-12 01:00:00,61,8,0.133333,160,2016-04-12,1,Tuesday,4,April,Night,Light
1503960366,2016-04-12 02:00:00,59,7,0.116667,151,2016-04-12,2,Tuesday,4,April,Night,Light
1503960366,2016-04-12 03:00:00,47,0,0.0,0,2016-04-12,3,Tuesday,4,April,Night,Sedentary
1503960366,2016-04-12 04:00:00,48,0,0.0,0,2016-04-12,4,Tuesday,4,April,Night,Sedentary
1503960366,2016-04-12 05:00:00,48,0,0.0,0,2016-04-12,5,Tuesday,4,April,Morning,Sedentary
1503960366,2016-04-12 06:00:00,48,0,0.0,0,2016-04-12,6,Tuesday,4,April,Morning,Sedentary
1503960366,2016-04-12 07:00:00,47,0,0.0,0,2016-04-12,7,Tuesday,4,April,Morning,Sedentary
1503960366,2016-04-12 08:00:00,68,13,0.216667,250,2016-04-12,8,Tuesday,4,April,Morning,Light
1503960366,2016-04-12 09:00:00,141,30,0.5,1864,2016-04-12,9,Tuesday,4,April,Morning,Light
1503960366,2016-04-12 10:00:00,99,29,0.483333,676,2016-04-12,10,Tuesday,4,April,Morning,Light
1503960366,2016-04-12 11:00:00,76,12,0.2,360,2016-04-12,11,Tuesday,4,April,Morning,Light
1503960366,2016-04-12 12:00:00,73,11,0.183333,253,2016-04-12,12,Tuesday,4,April,Afternoon,Light
1503960366,2016-04-12 13:00:00,66,6,0.1,221,2016-04-12,13,Tuesday,4,April,Afternoon,Light
1503960366,2016-04-12 14:00:00,110,36,0.6,1166,2016-04-12,14,Tuesday,4,April,Afternoon,Light
1503960366,2016-04-12 15:00:00,151,58,0.966667,2063,2016-04-12,15,Tuesday,4,April,Afternoon,Light
1503960366,2016-04-12 16:00:00,76,13,0.216667,344,2016-04-12,16,Tuesday,4,April,Afternoon,Light
1503960366,2016-04-12 17:00:00,83,16,0.266667,489,2016-04-12,17,Tuesday,4,April,Evening,Light
1503960366,2016-04-12 18:00:00,124,29,0.483333,1386,2016-04-12,18,Tuesday,4,April,Evening,Light
1503960366,2016-04-12 19:00:00,104,39,0.65,558,2016-04-12,19,Tuesday,4,April,Evening,Light
1503960366,2016-04-12 20:00:00,132,41,0.683333,1733,2016-04-12,20,Tuesday,4,April,Evening,Light
1503960366,2016-04-12 21:00:00,100,31,0.516667,684,2016-04-12,21,Tuesday,4,April,Night,Light
1503960366,2016-04-12 22:00:00,65,9,0.15,89,2016-04-12,22,Tuesday,4,April,Night,Light
