Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SleepHours,TimeInBedHours,SleepEfficiencyPct,DayOfWeek,Month,MonthName,SleepCategory
1503960366,2016-04-12,1,327,346,5.45,5.77,94.51,Tuesday,4,April,Short Sleep
1503960366,2016-04-13,2,384,407,6.4,6.78,94.35,Wednesday,4,April,Short Sleep
1503960366,2016-04-15,1,412,442,6.87,7.37,93.21,Friday,4,April,Short Sleep
1503960366,2016-04-16,2,340,367,5.67,6.12,92.64,Saturday,4,April,Short Sleep
1503960366,2016-04-17,1,700,712,11.67,11.87,98.31,Sunday,4,April,Long Sleep
1503960366,2016-04-19,1,304,320,5.07,5.33,95.0,Tuesday,4,April,Short Sleep
1503960366,2016-04-20,1,360,377,6.0,6.28,95.49,Wednesday,4,April,Short Sleep
1503960366,2016-04-21,1,325,364,5.42,6.07,89.29,Thursday,4,April,Short Sleep
1503960366,2016-04-23,1,361,384,6.02,6.4,94.01,Saturday,4,April,Short Sleep
1503960366,2016-04-24,1,430,449,7.17,7.48,95.77,Sunday,4,April,Recommended Range
1503960366,2016-04-25,1,277,323,4.62,5.38,85.76,Monday,4,April,Very Short Sleep
1503960366,2016-04-26,1,245,274,4.08,4.57,89.42,Tuesday,4,April,Very Short Sleep
1503960366,2016-04-28,1,366,393,6.1,6.55,93.13,Thursday,4,April,Short Sleep
1503960366,2016-04-29,1,341,354,5.68,5.9,96.33,Friday,4,April,Short Sleep
1503960366,2016-04-30,1,404,425,6.73,7.08,95.06,Saturday,4,April,Short Sleep
1503960366,2016-05-01,1,369,396,6.15,6.6,93.18,Sunday,5,May,Short Sleep
1503960366,2016-05-02,1,277,309,4.62,5.15,89.64,Monday,5,May,Very Short Sleep
1503960366,2016-05-03,1,273,296,4.55,4.93,92.23,Tuesday,5,May,Very Short Sleep
1503960366,2016-05-05,1,247,264,4.12,4.4,93.56,Thursday,5,May,Very Short Sleep
1503960366,2016-05-06,1,334,367,5.57,6.12,91.01,Friday,5,May,Short Sleep
1503960366,2016-05-07,1,331,349,5.52,5.82,94.84,Saturday,5,May,Short Sleep
1503960366,2016-05-08,1,594,611,9.9,10.18,97.22,Sunday,5,May,Long Sleep
1503960366,2016-05-09,1,338,342,5.63,5.7,98.83,Monday,5,May,Short Sleep
1503960366,2016-05-10,1,383,403,6.38,6.72,95.04,Tuesday,5,May,Short Sleep
1503960366,2016-05-11,1,285,306,4.75,5.1,93.14,Wednesday,5,May,Very Short Sleep
1644430081,2016-04-29,1,119,127,1.98,2.12,93.7,Friday,4,April,Very Short Sleep
1644430081,2016-04-30,1,124,142,2.07,2.37,87.32,Saturday,4,April,Very Short Sleep
1644430081,2016-05-02,1,796,961,13.27,16.02,82.83,Monday,5,May,Long Sleep
1644430081,2016-05-08,1,137,154,2.28,2.57,88.96,Sunday,5,May,Very Short Sleep
1844505072,2016-04-15,1,644,961,10.73,16.02,67.01,Friday,4,April,Long Sleep
1844505072,2016-04-30,1,722,961,12.03,16.02,75.13,Saturday,4,April,Long Sleep
1844505072,2016-05-01,1,590,961,9.83,16.02,61.39,Sunday,5,May,Long Sleep
1927972279,2016-04-12,3,750,775,12.5,12.92,96.77,Tuesday,4,April,Long Sleep
